"","building_eval_score","year_built","year_evaluated","wardname","reactive_score"
"311",83,1950,2024,"Beaches-East York",0
"312",65,1953,2024,"Beaches-East York",-1
"313",94,1959,2023,"Beaches-East York",0
"314",69,1959,2023,"Beaches-East York",0
"315",90,1959,2024,"Beaches-East York",0
"316",83,1950,2024,"Scarborough Southwest",0
"317",86,1928,2024,"Toronto-St. Paul's",0
"318",89,1979,2024,"Scarborough-Rouge Park",0
"319",90,1960,2024,"Don Valley East",0
"320",90,2013,2023,"Don Valley East",0
"321",84,1981,2024,"Don Valley East",0
"322",89,1967,2024,"Toronto-St. Paul's",0
"323",98,1965,2024,"Toronto-St. Paul's",0
"324",94,1970,2024,"Toronto-St. Paul's",0
"325",89,1969,2024,"Don Valley North",0
"326",77,2007,2023,"Davenport",0
"327",87,1930,2023,"Davenport",0
"328",95,1969,2024,"Toronto-St. Paul's",-1
"329",92,1964,2024,"Toronto-St. Paul's",0
"330",91,1983,2023,"York South-Weston",0
"331",75,1960,2023,"York South-Weston",0
"332",75,1958,2024,"York South-Weston",-1
"333",92,1976,2024,"Scarborough Southwest",0
"334",95,1959,2024,"Don Valley North",0
"335",93,1963,2024,"Etobicoke Centre",0
"336",86,1962,2024,"Etobicoke Centre",0
"337",82,1970,2023,"Etobicoke Centre",-1
"338",82,1963,2024,"Etobicoke Centre",0
"339",89,1964,2024,"Etobicoke Centre",0
"340",92,1963,2024,"Etobicoke North",-1
"341",92,1964,2023,"Etobicoke Centre",0
"342",91,1967,2023,"Etobicoke Centre",0
"343",92,1968,2023,"Etobicoke North",0
"344",93,1964,2023,"Etobicoke Centre",-1
"345",81,1968,2024,"Etobicoke Centre",0
"346",82,1962,2024,"Etobicoke Centre",0
"347",82,1961,2024,"Etobicoke Centre",0
"348",80,1969,2024,"Etobicoke Centre",0
"349",74,1960,2024,"Don Valley East",-2
"350",88,1950,2024,"Don Valley East",0
"351",91,1966,2023,"Don Valley East",0
"352",93,1960,2024,"Don Valley East",0
"353",91,1960,2024,"Don Valley East",0
"354",99,1959,2023,"Don Valley East",0
"355",97,1959,2023,"Don Valley East",0
"356",95,1958,2023,"Don Valley East",0
"357",83,1950,2023,"Don Valley East",0
"358",88,1960,2024,"Don Valley East",0
"359",83,1971,2024,"Don Valley North",0
"360",90,1968,2023,"Don Valley North",0
"361",95,1980,2024,"Don Valley North",0
"362",96,1970,2024,"Don Valley North",0
"363",79,1930,2024,"Toronto-Danforth",0
"364",94,1985,2024,"Toronto-Danforth",0
"365",94,1986,2024,"Toronto-Danforth",0
"366",97,2012,2024,"Toronto-Danforth",0
"367",97,1949,2024,"Toronto-Danforth",0
"368",96,1995,2023,"Davenport",0
"369",95,1992,2024,"York South-Weston",0
"370",74,1958,2024,"York Centre",-1
"371",75,1951,2024,"Eglinton-Lawrence",0
"372",89,1912,2023,"Spadina-Fort York",0
"373",70,1960,2023,"Davenport",0
"374",65,1924,2024,"Davenport",-1
"375",63,1930,2024,"Davenport",0
"376",40,1940,2024,"Davenport",-2
"377",93,1967,2023,"Davenport",0
"378",91,2008,2023,"Davenport",0
"379",94,1989,2023,"Parkdale-High Park",0
"380",98,1955,2023,"Parkdale-High Park",0
"381",97,1965,2023,"Parkdale-High Park",0
"382",78,1900,2023,"Parkdale-High Park",0
"383",84,1930,2023,"Parkdale-High Park",0
"384",91,1973,2024,"Parkdale-High Park",0
"385",85,1958,2024,"Parkdale-High Park",0
"386",75,1917,2023,"Parkdale-High Park",0
"387",81,1917,2024,"Parkdale-High Park",0
"388",83,2010,2024,"Parkdale-High Park",0
"389",93,1996,2024,"Willowdale",0
"390",81,1954,2023,"Eglinton-Lawrence",0
"391",75,1970,2024,"Humber River-Black Creek",-1
"392",92,1970,2023,"Humber River-Black Creek",0
"393",73,1971,2024,"Humber River-Black Creek",0
"394",90,1967,2024,"Humber River-Black Creek",0
"395",89,1941,2024,"Don Valley West",0
"396",90,1941,2024,"Don Valley West",0
"397",81,1941,2023,"Don Valley West",0
"398",97,1964,2023,"Parkdale-High Park",0
"399",93,1980,2024,"Parkdale-High Park",0
"400",87,1984,2023,"Spadina-Fort York",0
"401",99,2021,2023,"Davenport",0
"402",100,2021,2023,"Davenport",0
"403",84,1967,2024,"Davenport",0
"404",93,1971,2023,"Davenport",0
"405",77,1950,2023,"Davenport",0
"406",64,1959,2024,"Davenport",-1
"407",68,1959,2023,"Davenport",0
"408",75,1997,2024,"Toronto-St. Paul's",0
"409",58,1960,2024,"Eglinton-Lawrence",0
"410",90,1968,2024,"Eglinton-Lawrence",0
"411",99,1991,2024,"Eglinton-Lawrence",0
"412",89,1983,2023,"Eglinton-Lawrence",0
"413",91,1968,2024,"Don Valley East",0
"414",100,2007,2024,"Etobicoke-Lakeshore",0
"415",98,1960,2024,"Humber River-Black Creek",0
"416",95,1969,2024,"Humber River-Black Creek",0
"417",90,1958,2024,"Don Valley West",0
"418",94,1992,2024,"Toronto-St. Paul's",0
"419",80,1965,2024,"Etobicoke North",-2
"420",84,1965,2024,"Etobicoke North",-2
"421",83,1965,2024,"Etobicoke North",0
"422",81,1927,2023,"Beaches-East York",0
"423",86,1961,2023,"Beaches-East York",0
"424",81,1967,2023,"Parkdale-High Park",0
"425",95,1955,2024,"Scarborough Southwest",0
"426",93,1971,2023,"Scarborough Southwest",0
"427",87,1969,2023,"Scarborough Southwest",-2
"428",93,1957,2024,"Scarborough Southwest",0
"429",92,1958,2023,"Scarborough Southwest",0
"430",86,1958,2023,"Scarborough Southwest",0
"431",94,1957,2023,"Scarborough Southwest",0
"432",85,1965,2024,"Scarborough Southwest",0
"433",92,1960,2023,"Scarborough Centre",0
"434",95,1969,2024,"Scarborough Centre",0
"435",86,1969,2023,"Scarborough Centre",0
"436",85,1961,2023,"Scarborough Centre",0
"437",75,1961,2023,"Scarborough Centre",0
"438",90,1954,2023,"Scarborough Centre",0
"439",92,1967,2024,"Scarborough Centre",0
"440",84,1957,2024,"Scarborough Centre",0
"441",91,1961,2024,"Scarborough Centre",0
"442",97,1965,2024,"Scarborough Centre",0
"443",89,1960,2023,"Scarborough Centre",0
"444",77,1961,2023,"Scarborough Centre",0
"445",92,1960,2024,"Toronto Centre",0
"446",89,1965,2023,"Don Valley North",0
"447",79,1968,2024,"Don Valley North",0
"448",96,1970,2024,"Don Valley North",0
"449",92,1965,2024,"Don Valley North",0
"450",96,1964,2024,"York Centre",0
"451",85,1969,2024,"York Centre",0
"452",96,1964,2023,"York Centre",0
"453",75,1969,2024,"York Centre",0
"454",76,1956,2024,"Beaches-East York",0
"455",91,1960,2023,"Beaches-East York",0
"456",95,1961,2023,"Beaches-East York",0
"457",86,1961,2023,"Beaches-East York",0
"458",81,1972,2023,"Scarborough Southwest",-1
"459",95,1972,2023,"Scarborough Southwest",0
"460",41,1926,2024,"Spadina-Fort York",-1
"461",86,1974,2023,"Humber River-Black Creek",0
"462",96,1974,2023,"Humber River-Black Creek",0
"463",99,1970,2023,"Toronto-Danforth",0
"464",94,1968,2024,"Toronto-Danforth",0
"465",88,1966,2023,"Toronto-Danforth",0
"466",98,1968,2024,"Toronto-Danforth",0
"467",96,1994,2023,"Beaches-East York",0
"468",96,1971,2024,"Humber River-Black Creek",0
"469",88,1971,2024,"Humber River-Black Creek",0
"470",93,1960,2024,"Don Valley West",0
"471",91,1962,2024,"Don Valley West",0
"472",98,1958,2024,"Don Valley West",0
"473",87,1993,2023,"Spadina-Fort York",-1
"474",75,1970,2023,"Spadina-Fort York",0
"475",85,1958,2024,"York South-Weston",0
"476",81,1968,2023,"Don Valley East",0
"477",98,1970,2023,"Don Valley East",0
"478",89,1970,2023,"Don Valley East",0
"479",95,1970,2024,"Don Valley East",0
"480",93,1962,2023,"Scarborough-Guildwood",0
"481",92,1962,2023,"Scarborough-Guildwood",0
"482",87,1970,2023,"Scarborough-Guildwood",0
"483",75,1970,2023,"Scarborough-Guildwood",0
"484",98,1950,2023,"York South-Weston",0
"485",75,1954,2023,"York South-Weston",0
"486",80,1970,2023,"York South-Weston",0
"487",95,1970,2023,"Scarborough-Guildwood",0
"488",89,1962,2023,"Scarborough-Guildwood",0
"489",96,1977,2023,"Scarborough-Guildwood",0
"490",98,2020,2024,"Willowdale",0
"491",89,1993,2023,"Davenport",0
"492",83,1950,2023,"York South-Weston",0
"493",78,1960,2024,"York South-Weston",-1
"494",84,1955,2024,"York South-Weston",-1
"495",88,1970,2023,"York South-Weston",0
"496",69,1953,2023,"York South-Weston",0
"497",72,1956,2023,"York South-Weston",0
"498",99,1969,2024,"Don Valley East",0
"499",99,1966,2024,"Don Valley East",0
"500",97,1968,2023,"Don Valley East",0
"501",97,1900,2023,"Toronto Centre",0
"502",69,1958,2024,"York South-Weston",-6
"503",99,1966,2023,"York South-Weston",0
"504",87,1960,2023,"York South-Weston",0
"505",86,1960,2023,"York South-Weston",0
"506",97,1961,2023,"York South-Weston",0
"507",93,1961,2024,"York South-Weston",0
"508",91,1963,2024,"York South-Weston",0
"509",81,1961,2023,"York South-Weston",0
"510",91,1967,2024,"York South-Weston",0
"511",92,1960,2024,"York South-Weston",0
"512",80,1965,2024,"York South-Weston",-1
"513",88,1960,2024,"York South-Weston",0
"514",90,1980,2024,"Spadina-Fort York",0
"515",96,1980,2023,"Spadina-Fort York",0
"516",87,1962,2024,"Beaches-East York",0
"517",87,1970,2023,"Beaches-East York",0
"518",87,1970,2023,"Beaches-East York",0
"519",95,1913,2024,"University-Rosedale",-1
"520",94,1989,2023,"Toronto-Danforth",0
"521",93,2008,2024,"York South-Weston",0
"522",92,1968,2023,"York South-Weston",0
"523",83,1956,2024,"Scarborough Southwest",0
"524",86,1956,2023,"Scarborough Southwest",0
"525",99,2010,2024,"Willowdale",0
"526",85,1958,2024,"York Centre",0
"527",82,1956,2023,"York Centre",0
"528",90,1959,2024,"York Centre",0
"529",93,1958,2023,"York Centre",0
"530",79,1960,2023,"Davenport",0
"531",81,1960,2024,"Davenport",0
"532",99,1958,2023,"Davenport",0
"533",91,1905,2023,"Davenport",0
"534",81,1974,2023,"Don Valley North",0
"535",89,1967,2023,"Don Valley North",0
"536",60,1946,2024,"Toronto-St. Paul's",-1
"537",98,1959,2024,"Toronto-St. Paul's",0
"538",95,1959,2024,"Toronto-St. Paul's",0
"539",95,1959,2023,"Toronto-St. Paul's",0
"540",93,1975,2024,"Toronto-St. Paul's",0
"541",93,1950,2023,"Etobicoke-Lakeshore",0
"542",94,1950,2023,"Etobicoke-Lakeshore",0
"543",99,1965,2024,"York Centre",0
"544",99,1965,2024,"York Centre",0
"545",85,1957,2024,"York South-Weston",0
"546",89,1956,2024,"Toronto-St. Paul's",-1
"547",87,1979,2023,"Spadina-Fort York",0
"548",79,1980,2023,"Spadina-Fort York",0
"549",86,1978,2024,"University-Rosedale",-1
"550",60,1925,2024,"Davenport",-1
"551",88,1926,2024,"Parkdale-High Park",-1
"552",92,1969,2023,"Parkdale-High Park",0
"553",87,1969,2024,"Parkdale-High Park",-1
"554",92,2021,2024,"Parkdale-High Park",0
"555",88,1969,2023,"Parkdale-High Park",0
"556",92,1969,2023,"Parkdale-High Park",0
"557",82,1969,2023,"Parkdale-High Park",-1
"558",97,1940,2024,"Parkdale-High Park",0
"559",84,1954,2023,"Etobicoke-Lakeshore",0
"560",96,1955,2023,"Etobicoke-Lakeshore",0
"561",91,1962,2023,"Etobicoke-Lakeshore",0
"562",82,1968,2024,"Etobicoke-Lakeshore",-1
"563",85,1964,2024,"Etobicoke-Lakeshore",-1
"564",73,1957,2023,"Etobicoke-Lakeshore",-3
"565",95,1954,2023,"Etobicoke-Lakeshore",0
"566",88,1965,2023,"University-Rosedale",-1
"567",87,1965,2024,"University-Rosedale",-1
"568",100,2022,2023,"Don Valley West",0
"569",97,1954,2024,"Toronto-Danforth",0
"570",94,1953,2024,"Toronto-Danforth",-1
"571",97,1968,2023,"Toronto-Danforth",0
"572",94,1975,2024,"Toronto-St. Paul's",0
"573",95,1963,2023,"Toronto-St. Paul's",0
"574",87,1967,2023,"Toronto-St. Paul's",0
"575",86,1969,2024,"Toronto-St. Paul's",-1
"576",90,1993,2023,"Toronto-St. Paul's",-1
"577",78,1940,2024,"Toronto Centre",0
"578",79,1959,2023,"Eglinton-Lawrence",0
"579",69,1956,2024,"Eglinton-Lawrence",0
"580",83,1956,2024,"Eglinton-Lawrence",0
"581",87,1957,2024,"Eglinton-Lawrence",0
"582",76,1952,2024,"Eglinton-Lawrence",0
"583",78,1956,2023,"Eglinton-Lawrence",0
"584",75,1957,2023,"Eglinton-Lawrence",0
"585",75,1956,2023,"Eglinton-Lawrence",0
"586",82,1957,2024,"Eglinton-Lawrence",0
"587",85,1969,2023,"Toronto Centre",-2
"588",94,1964,2023,"Toronto Centre",0
"589",91,1920,2024,"University-Rosedale",-1
"590",77,1920,2023,"University-Rosedale",-1
"591",83,1930,2024,"Beaches-East York",0
"592",94,1928,2024,"Beaches-East York",0
"593",82,1928,2023,"Beaches-East York",0
"594",83,1969,2024,"York South-Weston",0
"595",89,1968,2024,"York South-Weston",-1
"596",91,1989,2023,"Etobicoke North",0
"597",90,1984,2023,"Etobicoke North",0
"598",90,1986,2023,"Etobicoke North",0
